
time 00h 48m 48s, episodes 1795, frames 1.359M, mean epr 368.933
time 00h 48m 58s, episodes 1801, frames 1.364M, mean epr 377.412
time 00h 49m 08s, episodes 1806, frames 1.368M, mean epr 378.260
time 00h 49m 18s, episodes 1813, frames 1.373M, mean epr 381.269
time 00h 49m 28s, episodes 1817, frames 1.377M, mean epr 381.510
time 00h 49m 38s, episodes 1823, frames 1.382M, mean epr 385.486
time 00h 49m 48s, episodes 1831, frames 1.387M, mean epr 379.248
time 00h 49m 58s, episodes 1837, frames 1.391M, mean epr 378.337
time 00h 50m 09s, episodes 1844, frames 1.396M, mean epr 378.131
time 00h 50m 19s, episodes 1851, frames 1.400M, mean epr 379.125
time 00h 50m 29s, episodes 1857, frames 1.405M, mean epr 374.560
time 00h 50m 39s, episodes 1862, frames 1.409M, mean epr 375.575
time 00h 50m 49s, episodes 1867, frames 1.414M, mean epr 381.478
time 00h 50m 59s, episodes 1872, frames 1.418M, mean epr 383.179
time 00h 51m 09s, episodes 1877, frames 1.423M, mean epr 387.023
time 00h 51m 20s, episodes 1880, frames 1.427M, mean epr 388.398
time 00h 51m 30s, episodes 1889, frames 1.432M, mean epr 391.353
time 00h 51m 40s, episodes 1891, frames 1.437M, mean epr 389.628
time 00h 51m 50s, episodes 1899, frames 1.441M, mean epr 395.792
time 00h 52m 00s, episodes 1903, frames 1.446M, mean epr 396.752
time 00h 52m 10s, episodes 1909, frames 1.450M, mean epr 396.676
time 00h 52m 20s, episodes 1915, frames 1.454M, mean epr 398.557
time 00h 52m 30s, episodes 1921, frames 1.459M, mean epr 402.253
time 00h 52m 40s, episodes 1926, frames 1.463M, mean epr 400.651
time 00h 52m 51s, episodes 1931, frames 1.468M, mean epr 401.638
time 00h 53m 01s, episodes 1937, frames 1.472M, mean epr 405.368
time 00h 53m 11s, episodes 1941, frames 1.477M, mean epr 406.758
time 00h 53m 21s, episodes 1945, frames 1.481M, mean epr 408.512
time 00h 53m 31s, episodes 1951, frames 1.486M, mean epr 416.532
time 00h 53m 41s, episodes 1957, frames 1.491M, mean epr 420.183
time 00h 53m 51s, episodes 1963, frames 1.495M, mean epr 422.051
time 00h 54m 02s, episodes 1968, frames 1.500M, mean epr 425.893
time 00h 54m 12s, episodes 1973, frames 1.504M, mean epr 425.217
time 00h 54m 22s, episodes 1976, frames 1.509M, mean epr 424.623
time 00h 54m 32s, episodes 1984, frames 1.513M, mean epr 432.412
time 00h 54m 42s, episodes 1986, frames 1.518M, mean epr 432.797
time 00h 54m 52s, episodes 1993, frames 1.523M, mean epr 431.925
time 00h 55m 03s, episodes 2000, frames 1.527M, mean epr 428.483
time 00h 55m 13s, episodes 2005, frames 1.532M, mean epr 424.162
time 00h 55m 23s, episodes 2010, frames 1.536M, mean epr 422.929
time 00h 55m 33s, episodes 2017, frames 1.541M, mean epr 421.674
time 00h 55m 43s, episodes 2023, frames 1.545M, mean epr 420.162
time 00h 55m 53s, episodes 2028, frames 1.550M, mean epr 415.648
