
time 00h 35m 23s, episodes 1076, frames 0.295M, mean epr 2.194
time 00h 35m 33s, episodes 1079, frames 0.296M, mean epr 2.149
time 00h 35m 43s, episodes 1081, frames 0.297M, mean epr 2.156
time 00h 35m 53s, episodes 1083, frames 0.299M, mean epr 2.172
time 00h 36m 03s, episodes 1084, frames 0.300M, mean epr 2.151
time 00h 36m 13s, episodes 1086, frames 0.302M, mean epr 2.128
time 00h 36m 23s, episodes 1089, frames 0.303M, mean epr 2.104
time 00h 36m 33s, episodes 1092, frames 0.304M, mean epr 2.121
time 00h 36m 43s, episodes 1092, frames 0.306M, mean epr 2.121
time 00h 36m 53s, episodes 1093, frames 0.307M, mean epr 2.130
time 00h 37m 03s, episodes 1093, frames 0.309M, mean epr 2.130
time 00h 37m 14s, episodes 1096, frames 0.310M, mean epr 2.126
time 00h 37m 24s, episodes 1099, frames 0.312M, mean epr 2.112
time 00h 37m 34s, episodes 1101, frames 0.313M, mean epr 2.110
time 00h 37m 44s, episodes 1101, frames 0.314M, mean epr 2.110
time 00h 37m 54s, episodes 1104, frames 0.316M, mean epr 2.146
time 00h 38m 04s, episodes 1105, frames 0.317M, mean epr 2.155
time 00h 38m 14s, episodes 1109, frames 0.319M, mean epr 2.109
time 00h 38m 24s, episodes 1109, frames 0.320M, mean epr 2.109
time 00h 38m 34s, episodes 1110, frames 0.321M, mean epr 2.088
time 00h 38m 45s, episodes 1110, frames 0.323M, mean epr 2.088
time 00h 38m 55s, episodes 1111, frames 0.324M, mean epr 2.097
time 00h 39m 05s, episodes 1111, frames 0.326M, mean epr 2.097
time 00h 39m 15s, episodes 1115, frames 0.327M, mean epr 2.093
time 00h 39m 25s, episodes 1117, frames 0.328M, mean epr 2.101
time 00h 39m 35s, episodes 1119, frames 0.330M, mean epr 2.089
time 00h 39m 46s, episodes 1120, frames 0.331M, mean epr 2.098
time 00h 39m 56s, episodes 1124, frames 0.333M, mean epr 2.045
time 00h 40m 06s, episodes 1127, frames 0.334M, mean epr 2.044
time 00h 40m 16s, episodes 1133, frames 0.336M, mean epr 2.032
time 00h 40m 26s, episodes 1136, frames 0.337M, mean epr 2.041
time 00h 40m 36s, episodes 1141, frames 0.339M, mean epr 2.049
