
time 00h 30m 57s, episodes 1415, frames 0.347M, mean epr 1.344
time 00h 31m 07s, episodes 1422, frames 0.349M, mean epr 1.380
time 00h 31m 17s, episodes 1429, frames 0.351M, mean epr 1.422
time 00h 31m 28s, episodes 1433, frames 0.353M, mean epr 1.573
time 00h 31m 38s, episodes 1442, frames 0.355M, mean epr 1.629
time 00h 31m 48s, episodes 1451, frames 0.357M, mean epr 1.625
time 00h 31m 58s, episodes 1460, frames 0.359M, mean epr 1.551
time 00h 32m 08s, episodes 1465, frames 0.361M, mean epr 1.563
time 00h 32m 18s, episodes 1473, frames 0.363M, mean epr 1.628
time 00h 32m 29s, episodes 1481, frames 0.365M, mean epr 1.590
time 00h 32m 39s, episodes 1488, frames 0.367M, mean epr 1.579
time 00h 32m 49s, episodes 1495, frames 0.369M, mean epr 1.578
time 00h 33m 01s, episodes 1504, frames 0.371M, mean epr 1.565
time 00h 33m 11s, episodes 1512, frames 0.373M, mean epr 1.581
time 00h 33m 21s, episodes 1522, frames 0.375M, mean epr 1.584
time 00h 33m 31s, episodes 1531, frames 0.378M, mean epr 1.514
time 00h 33m 41s, episodes 1539, frames 0.379M, mean epr 1.444
time 00h 33m 52s, episodes 1545, frames 0.381M, mean epr 1.389
time 00h 34m 02s, episodes 1554, frames 0.384M, mean epr 1.396
time 00h 34m 13s, episodes 1566, frames 0.386M, mean epr 1.370
time 00h 34m 24s, episodes 1573, frames 0.388M, mean epr 1.316
time 00h 34m 34s, episodes 1581, frames 0.390M, mean epr 1.359
time 00h 34m 44s, episodes 1587, frames 0.392M, mean epr 1.367
time 00h 34m 55s, episodes 1595, frames 0.394M, mean epr 1.426
time 00h 35m 06s, episodes 1603, frames 0.397M, mean epr 1.480
time 00h 35m 17s, episodes 1609, frames 0.399M, mean epr 1.472
time 00h 35m 27s, episodes 1616, frames 0.401M, mean epr 1.546
time 00h 35m 37s, episodes 1624, frames 0.403M, mean epr 1.561
time 00h 35m 47s, episodes 1630, frames 0.405M, mean epr 1.616
time 00h 35m 58s, episodes 1636, frames 0.407M, mean epr 1.629
time 00h 36m 08s, episodes 1641, frames 0.409M, mean epr 1.686
time 00h 36m 18s, episodes 1651, frames 0.411M, mean epr 1.737
time 00h 36m 29s, episodes 1657, frames 0.413M, mean epr 1.685
time 00h 36m 39s, episodes 1665, frames 0.415M, mean epr 1.748
time 00h 36m 49s, episodes 1673, frames 0.417M, mean epr 1.691
time 00h 37m 00s, episodes 1681, frames 0.419M, mean epr 1.685
time 00h 37m 10s, episodes 1686, frames 0.421M, mean epr 1.671
time 00h 37m 21s, episodes 1693, frames 0.423M, mean epr 1.773
time 00h 37m 31s, episodes 1699, frames 0.426M, mean epr 1.794
time 00h 37m 41s, episodes 1708, frames 0.428M, mean epr 1.851
time 00h 37m 51s, episodes 1714, frames 0.430M, mean epr 1.841
time 00h 38m 02s, episodes 1722, frames 0.432M, mean epr 1.785
time 00h 38m 12s, episodes 1729, frames 0.434M, mean epr 1.771
